train_auc,val_auc,learning_rate,batch_size,num_epochs,regularization_lambda
0.8224419957156931,0.8410298488725906,0.5,8192,100,1
0.8107913859547637,0.8324129192364589,0.1,8192,50,0.001
0.8214171472644622,0.8393661416783466,1.0,8192,50,1
0.8326310345465159,0.8510130007093227,0.5,1024,100,0
0.8214302738311265,0.8394103869793279,0.25,4096,500,1
0.8318601002136871,0.8514311991860541,0.25,4096,200,0
0.8277151564617224,0.8467051300224706,0.75,2048,500,0.01
0.8311714245716353,0.8508261639170274,1.0,1024,200,0.001
0.8228828387362616,0.840967290350666,0.1,2048,500,0.1
0.8177668333372954,0.8369877295827857,0.5,2048,50,1
0.8299528388155026,0.8502353178993421,0.75,8192,50,0
0.823404097825886,0.8415114446447249,0.5,1024,50,0.1
0.823191596208045,0.8413411736286263,1.0,4096,200,0.1
0.822931516068792,0.8409862326517181,1.0,2048,500,1
0.8273338140631975,0.8471138922975712,0.25,2048,50,0.01
0.8309192051580729,0.8505959205972291,0.25,1024,500,0.001
0.828110884833501,0.8474802266142265,0.5,4096,100,0.01
0.8278417056929509,0.8468505174253792,1.0,2048,100,0.01
0.8325373947082735,0.8503215717720292,0.5,1024,200,0
0.821813830756674,0.8399091077099778,0.75,2048,200,0.1
0.827503901571881,0.8464465081999895,0.75,2048,200,0.01
0.8230238542384789,0.8411235818087925,0.1,4096,500,0.1
0.8273204592819163,0.8461862088305513,1.0,2048,500,0.01
0.8231017979825194,0.8410998864580301,0.75,2048,50,0.1
0.824149319978552,0.8431584462671924,1.0,1024,200,0.1
0.8226838271379933,0.8408785900553339,1.0,1024,50,0.1
0.8325284605286444,0.8503577788271767,1.0,2048,200,0
0.8218315089370851,0.8396573358709027,0.75,1024,100,1
0.8202247258915294,0.8372460718141077,1.0,1024,200,1
0.8233089872712241,0.8420610509663928,0.5,4096,100,1
0.8110795153609041,0.8326830741942672,0.1,8192,50,0
0.828875716538428,0.8492373172557233,0.1,1024,50,0.001
0.8240934285284118,0.8441598719025143,0.5,8192,50,0.01
0.8213768082178393,0.839413322686502,0.1,8192,200,1
0.8277630519478804,0.8468172460774059,1.0,1024,500,0.01
0.8311249617661276,0.8508999759831194,0.5,8192,500,0.001
0.8211361643567862,0.8421402451623041,0.25,8192,50,0.001
0.8313478006608714,0.851228355799881,1.0,1024,50,0.001
0.8230762421716311,0.8412904278331881,0.25,1024,100,0.1
0.8235293961029184,0.8420019873339614,0.25,4096,50,0.1
0.8289728134054957,0.8493370614018533,0.1,4096,200,0.001
0.8329074193522826,0.8504833152577649,1.0,1024,200,0
0.8278160780367204,0.8468768688921564,0.75,4096,500,0.01
0.8325726158308042,0.8504061480977596,0.75,4096,500,0
0.8321387249036559,0.8512867903522037,0.75,4096,100,0
0.8166002636090135,0.8338354091578966,0.75,2048,50,1
0.829800129427271,0.8500042358060655,0.5,8192,100,0.001
0.8226052283334787,0.840733342448005,1.0,2048,100,0.1
0.8252202973657587,0.8458513285193328,0.1,4096,100,0.001
0.8276080815444635,0.8466180373763054,1.0,2048,50,0.01
0.8196553388749335,0.8371851908391399,1.0,8192,100,1
0.830782690555243,0.8508563597622468,0.5,8192,100,0
0.8226952843569973,0.8421715593721613,0.25,8192,50,0.1
0.8221945645828876,0.8425587931279848,0.1,8192,200,0.01
0.8310266646592233,0.8507417972846667,0.25,2048,500,0.001
0.8230582174430983,0.8411941086787612,0.25,2048,200,0.1
0.8310798259863548,0.8507944303204309,0.5,4096,500,0.001
0.8250633744595091,0.8457438257185284,0.1,2048,50,0.001
0.8213151902712954,0.8402589461482264,0.75,8192,100,1
0.8265486247692101,0.8464082042111462,0.1,1024,50,0.01
0.8279468915003262,0.8471187851428612,0.25,8192,500,0.01
0.8233837529154153,0.8415631690092211,0.75,8192,200,0.1
0.8219083369652211,0.8428871729447462,0.25,8192,50,0
0.8229142309246654,0.8410020994500162,0.25,1024,500,0.1
0.8242829269581158,0.8443799800427829,0.25,8192,100,0.01
0.8231378981539446,0.8413220915319946,0.75,1024,500,0.1
0.8280658039942841,0.8474059951613953,1.0,4096,50,0.01
0.8185862379190207,0.836612028962289,0.25,2048,100,1
0.8276696868124176,0.8466894030197523,1.0,4096,200,0.01
0.8199422511364507,0.8387369217740283,0.75,2048,200,1
0.8278822433708144,0.846882041328606,0.75,1024,200,0.01
0.8235965461408221,0.8418296892819568,0.5,1024,100,0.1
0.8208612756246187,0.8387713114866393,0.1,4096,200,1
0.8287065038524423,0.8490417432396955,0.75,8192,50,0.001
0.8204576189080036,0.838251761214611,1.0,4096,100,1
0.8326388487840439,0.8503333146007257,1.0,4096,500,0
0.831187661619003,0.8509542865658405,0.5,1024,50,0.001
0.8235171739423283,0.8423145003524246,0.1,4096,100,0.1
0.8195388268606489,0.837729624724358,0.25,4096,100,1
0.8279887519777279,0.8472782220015317,0.1,4096,500,0.01
0.8296442546177802,0.8498936575025071,0.25,2048,50,0.001
0.8229831644175377,0.8410881436293337,0.1,1024,100,0.1
0.8300557636076926,0.8503609941255101,0.1,4096,200,0
0.8237684762712267,0.8417519629396326,0.75,1024,100,0.1
0.8279733390386987,0.8473467218355943,0.75,8192,100,0.01
0.821367442966156,0.8401232745381084,0.75,8192,500,1
0.8307505291990565,0.850454866857292,1.0,1024,500,0.001
0.8274246941950549,0.8471815533581555,0.25,4096,100,0.01
0.8228164663185337,0.8418761713122136,0.75,4096,100,1
0.8230828730741091,0.8411985122395224,0.25,8192,500,0.1
0.8209714018558286,0.8389951941075604,0.1,8192,500,1
0.8322835482090171,0.8512387705705702,0.5,4096,200,0
0.831000948252864,0.8507557768426386,0.75,2048,50,0.001
0.8275762625102023,0.8464725101778172,0.5,2048,500,0.01
0.8276180384636718,0.846552403351627,0.25,1024,100,0.01
0.8311071737046047,0.8508734148229726,0.5,2048,200,0.001
0.8215732333837835,0.8403191980430855,0.25,8192,50,1
0.8309467092455974,0.8507645140663711,0.75,4096,100,0.001
0.8309578241426764,0.8506978315748448,1.0,2048,200,0.001
0.8206905076982812,0.8393755079821879,0.25,2048,500,1
0.8304608487787613,0.8504510224788495,0.1,1024,100,0.001
0.8302086082342157,0.8502992743770639,0.75,4096,50,0.001
0.8230754434204722,0.8411725102616945,0.1,1024,200,0.1
0.8277911519291267,0.8469072744307454,0.75,2048,50,0.01
0.8229670287988886,0.8410324350908154,0.75,4096,100,0.1
0.8228701178844716,0.8409818989887468,0.5,2048,100,0.1
0.8310867442702019,0.8508279113617738,0.5,2048,100,0.001
